
2023/01/03 (14:56:44) | ===> btop++ v.1.2.9
2023/01/03 (14:56:44) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/01/03 (16:10:27) | ===> btop++ v.1.2.9
2023/01/03 (16:10:27) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/02/23 (15:41:25) | ===> btop++ v.1.2.13
2023/02/23 (15:41:25) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/02/28 (11:28:41) | ===> btop++ v.1.2.13
2023/02/28 (11:28:41) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/02/28 (11:45:42) | ===> btop++ v.1.2.13
2023/02/28 (11:45:42) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/03/07 (19:42:26) | ===> btop++ v.1.2.13
2023/03/07 (19:42:26) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/03/12 (16:28:25) | ===> btop++ v.1.2.13
2023/03/12 (16:28:25) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/03/12 (16:33:14) | ===> btop++ v.1.2.13
2023/03/12 (16:33:14) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/03/12 (16:38:09) | ===> btop++ v.1.2.13
2023/03/12 (16:38:09) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/03/13 (12:45:38) | ===> btop++ v.1.2.13
2023/03/13 (12:45:38) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/03/20 (12:02:06) | ===> btop++ v.1.2.13
2023/03/20 (12:02:06) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/04/02 (11:25:04) | ===> btop++ v.1.2.13
2023/04/02 (11:25:04) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/04/03 (13:34:47) | ===> btop++ v.1.2.13
2023/04/03 (13:34:47) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/04/11 (11:58:16) | ===> btop++ v.1.2.13
2023/04/11 (11:58:16) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/04/16 (12:16:14) | ===> btop++ v.1.2.13
2023/04/16 (12:16:14) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/05/01 (17:09:57) | ===> btop++ v.1.2.13
2023/05/01 (17:09:57) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/05/01 (17:10:04) | ===> btop++ v.1.2.13
2023/05/01 (17:10:04) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/05/02 (12:47:46) | ===> btop++ v.1.2.13
2023/05/02 (12:47:46) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/05/26 (10:26:13) | ===> btop++ v.1.2.13
2023/05/26 (10:26:13) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/06/05 (10:20:22) | ===> btop++ v.1.2.13
2023/06/05 (10:20:22) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/06/05 (10:20:27) | ===> btop++ v.1.2.13
2023/06/05 (10:20:27) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/06/11 (16:05:23) | ===> btop++ v.1.2.13
2023/06/11 (16:05:23) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/06/13 (12:03:58) | ===> btop++ v.1.2.13
2023/06/13 (12:03:58) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/06/13 (12:09:17) | ===> btop++ v.1.2.13
2023/06/13 (12:09:17) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/06/16 (15:26:36) | ===> btop++ v.1.2.13
2023/06/16 (15:26:36) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/07/02 (10:42:56) | ===> btop++ v.1.2.13
2023/07/02 (10:42:56) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/07/02 (10:43:01) | ===> btop++ v.1.2.13
2023/07/02 (10:43:01) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/07/18 (16:52:06) | ===> btop++ v.1.2.13
2023/07/18 (16:52:06) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/08/27 (16:41:43) | ===> btop++ v.1.2.13
2023/08/27 (16:41:43) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/08/27 (18:24:05) | ===> btop++ v.1.2.13
2023/08/27 (18:24:05) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/10/19 (13:30:05) | ===> btop++ v.1.2.13
2023/10/19 (13:30:05) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
2023/10/19 (15:22:18) | ERROR: Stall in Runner thread, restarting!
2023/10/19 (15:22:24) | ERROR: Stall in Runner thread, restarting!

2023/10/26 (17:53:47) | ===> btop++ v.1.2.13
2023/10/26 (17:53:47) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/10/28 (20:08:21) | ===> btop++ v.1.2.13
2023/10/28 (20:08:21) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/10/30 (13:10:26) | ===> btop++ v.1.2.13
2023/10/30 (13:10:26) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/11/06 (10:35:27) | ===> btop++ v.1.2.13
2023/11/06 (10:35:27) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/11/06 (13:21:10) | ===> btop++ v.1.2.13
2023/11/06 (13:21:10) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
2023/11/06 (18:05:37) | ERROR: Stall in Runner thread, restarting!

2023/11/07 (12:56:17) | ===> btop++ v.1.2.13
2023/11/07 (12:56:17) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
2023/11/07 (14:11:42) | ERROR: Stall in Runner thread, restarting!
2023/11/07 (14:11:42) | ERROR: Stall in Runner thread, restarting!
2023/11/07 (14:11:48) | ERROR: Stall in Runner thread, restarting!
2023/11/07 (14:11:48) | ERROR: Stall in Runner thread, restarting!
2023/11/07 (14:11:54) | ERROR: Stall in Runner thread, restarting!
2023/11/07 (14:11:54) | ERROR: Stall in Runner thread, restarting!

2023/11/09 (11:02:22) | ===> btop++ v.1.2.13
2023/11/09 (11:02:22) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/11/09 (11:15:36) | ===> btop++ v.1.2.13
2023/11/09 (11:15:36) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/11/12 (12:06:41) | ===> btop++ v.1.2.13
2023/11/12 (12:06:41) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/11/12 (12:07:02) | ===> btop++ v.1.2.13
2023/11/12 (12:07:02) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
2023/11/12 (18:00:14) | ERROR: Stall in Runner thread, restarting!
2023/11/13 (15:41:59) | ERROR: Stall in Runner thread, restarting!
2023/11/13 (15:42:05) | ERROR: Stall in Runner thread, restarting!
2023/11/13 (15:42:11) | ERROR: Stall in Runner thread, restarting!
2023/11/13 (15:42:18) | ERROR: Stall in Runner thread, restarting!
2023/11/13 (15:42:24) | ERROR: Stall in Runner thread, restarting!
2023/11/13 (15:42:30) | ERROR: Stall in Runner thread, restarting!
2023/11/13 (15:42:36) | ERROR: Stall in Runner thread, restarting!
2023/11/13 (15:42:42) | ERROR: Stall in Runner thread, restarting!
2023/11/13 (15:42:48) | ERROR: Stall in Runner thread, restarting!

2023/11/14 (15:50:46) | ===> btop++ v.1.2.13
2023/11/14 (15:50:46) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/11/14 (16:17:53) | ===> btop++ v.1.2.13
2023/11/14 (16:17:53) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/11/14 (18:49:39) | ===> btop++ v.1.2.13
2023/11/14 (18:49:39) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/11/15 (12:24:15) | ===> btop++ v.1.2.13
2023/11/15 (12:24:15) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
2023/11/16 (12:00:15) | ERROR: Stall in Runner thread, restarting!
2023/11/16 (12:00:21) | ERROR: Stall in Runner thread, restarting!
2023/11/16 (12:00:27) | ERROR: Stall in Runner thread, restarting!
2023/11/16 (12:00:33) | ERROR: Stall in Runner thread, restarting!
2023/11/16 (12:00:39) | ERROR: Stall in Runner thread, restarting!
2023/11/16 (12:01:44) | ERROR: Stall in Runner thread, restarting!
2023/11/16 (12:01:50) | ERROR: Stall in Runner thread, restarting!
2023/11/16 (12:01:56) | ERROR: Stall in Runner thread, restarting!
2023/11/16 (12:02:02) | ERROR: Stall in Runner thread, restarting!
2023/11/16 (12:02:08) | ERROR: Stall in Runner thread, restarting!

2023/11/16 (13:20:43) | ===> btop++ v.1.2.13
2023/11/16 (13:20:43) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/11/16 (15:11:39) | ===> btop++ v.1.2.13
2023/11/16 (15:11:39) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/11/21 (18:16:02) | ===> btop++ v.1.2.13
2023/11/21 (18:16:02) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/11/27 (14:33:09) | ===> btop++ v.1.2.13
2023/11/27 (14:33:09) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/11/27 (14:33:28) | ===> btop++ v.1.2.13
2023/11/27 (14:33:28) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

